   2.4950495049504951e+01	   6.6233766233766191e+00	
   3.9966996699669970e+01	   8.8311688311688314e+00	
   4.9900990099009896e+01	   1.0259740259740258e+01	
   6.0066006600660067e+01	   1.2142857142857139e+01	
   7.0000000000000000e+01	   1.3246753246753244e+01	
   7.9933993399339940e+01	   1.4610389610389609e+01	
   8.9867986798679851e+01	   1.6103896103896105e+01	
   9.9801980198019805e+01	   1.8051948051948052e+01	
   1.0996699669966998e+02	   2.1883116883116884e+01	
   1.1990099009900989e+02	   2.2857142857142858e+01	
   1.3006600660066005e+02	   2.0259740259740258e+01	
