   0.0000000000000000e+00	   2.6881720430108167e-03	
   1.9076005961251870e+00	   1.8817204301075328e-02	
   3.9940387481371076e+00	   2.6881720430107586e-02	
   5.9612518628912081e+00	   4.0322580645161282e-02	
   7.6900149031296570e+00	   4.8387096774193540e-02	
   7.9880774962742178e+00	   4.8387096774193540e-02	
   9.2995529061102822e+00	   5.6451612903225985e-02	
   1.0014903129657228e+01	   5.9139784946236611e-02	
   1.4247391952309984e+01	   8.0645161290322759e-02	
   1.4903129657228016e+01	   8.3333333333333384e-02	
   1.6214605067064085e+01	   9.1397849462365635e-02	
   1.9850968703427718e+01	   1.0752688172043015e-01	
   2.4918032786885249e+01	   1.3709677419354854e-01	
   2.9865871833084945e+01	   1.5860215053763452e-01	
   3.4873323397913559e+01	   1.8279569892473127e-01	
